,auction_id,experiment,date,hour,device_make,platform_os,browser,yes,no
0,0008ef63-77a7-448b-bd1e-075f42c55e39,exposed,2020-07-10,8,Generic Smartphone,6,Chrome Mobile,0,0
1,000eabc5-17ce-4137-8efe-44734d914446,exposed,2020-07-07,10,Generic Smartphone,6,Chrome Mobile,0,0
4,001a7785-d3fe-4e11-a344-c8735acacc2c,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
6,002e308b-1a07-49d6-8560-0fbcdcd71e4b,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
9,004c4cc9-f2ca-4df7-adc9-3d0c3c4f0342,control,2020-07-05,14,Generic Smartphone,6,Chrome Mobile,0,0
12,0057654c-4781-4ddc-af0f-c584f776a6c8,control,2020-07-05,8,Generic Smartphone,6,Chrome Mobile,0,0
15,0084b196-3752-4fb0-9892-852d28db4c2a,exposed,2020-07-07,16,HTC One,6,Chrome Mobile,0,0
16,008aafdf-deef-4482-8fec-d98e3da054da,exposed,2020-07-04,16,Generic Smartphone,6,Chrome Mobile,1,0
17,009921b9-85e0-4ef4-97bb-056b4d4eb37c,control,2020-07-04,7,Generic Smartphone,6,Chrome Mobile,0,0
18,009d83e9-7337-412d-82e2-994f2d13a4ef,exposed,2020-07-10,6,Generic Smartphone,6,Chrome Mobile,0,0
19,009f8ffc-3188-433d-8946-965c40444587,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
21,00b0dd5a-6c44-4a2e-82bd-a4dddf826a9f,control,2020-07-08,20,Generic Smartphone,6,Chrome Mobile,0,0
22,00b6f2ed-a497-4269-a78f-77d4f26d85cd,control,2020-07-03,15,LG-$2,6,Chrome Mobile,0,0
24,00be1b54-f635-4def-be18-f9322b62a88e,exposed,2020-07-09,17,Generic Smartphone,6,Chrome Mobile,0,0
28,00ece802-4a85-43d3-8cf5-ebe94f83d632,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
29,00ed819f-8486-43fe-aba7-b264fba62e1d,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
30,00ef0267-acec-4ef3-b273-f49d5e25561b,exposed,2020-07-10,16,Generic Smartphone,6,Chrome Mobile,0,0
31,00f31b5c-5e3d-4f34-b1ee-5765efb2455a,exposed,2020-07-10,1,Generic Smartphone,6,Chrome Mobile,0,0
34,0110d73e-9308-4794-85d8-2771d1f351b9,exposed,2020-07-05,18,Generic Smartphone,6,Chrome Mobile,0,0
36,01198c7d-3ed6-42ea-9ba9-12b5a7cf0c2d,exposed,2020-07-06,4,Generic Smartphone,6,Chrome Mobile,0,0
38,012f3899-4b38-42d9-98fd-a5cd183dda24,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
40,014bf8c5-3ffd-4ae2-8f54-306b412f5e5b,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
42,01559a51-bd98-4afc-b653-007b7a6707e1,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
45,018af862-486e-4da1-a85b-71872120e57c,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,1,0
52,01bc6381-2992-4d94-a817-938d1e31c901,exposed,2020-07-10,13,Generic Smartphone,6,Chrome Mobile,0,0
53,01cf572b-b372-40b8-8752-fef9198251a0,exposed,2020-07-04,17,Generic Smartphone,6,Chrome Mobile,0,0
57,01dbf4a8-a2e0-4c1d-8143-94b14f4daa9f,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
58,01e7823e-af44-4659-8b5a-6eae5b160715,exposed,2020-07-08,4,Generic Smartphone,6,Chrome Mobile,0,0
59,0200ce8c-9172-46d2-be7c-5c69735ed1dd,exposed,2020-07-03,1,Generic Smartphone,6,Chrome Mobile,0,0
60,020a74a5-db80-42ab-97d3-319f79d865d8,exposed,2020-07-07,13,Generic Smartphone,6,Chrome Mobile,0,0
61,022d1ff4-292c-4d7c-9ad0-d969d368c649,control,2020-07-06,10,Generic Smartphone,6,Chrome Mobile,0,0
63,023735a1-e2cc-4c97-af66-0d81b761130f,exposed,2020-07-05,12,Generic Smartphone,6,Chrome Mobile,0,0
67,024780cc-e752-4daa-a88e-6332d32fa390,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
70,0260a2ed-334f-465c-9dbe-463f2c7224bc,control,2020-07-07,21,Generic Smartphone,6,Chrome Mobile,0,0
71,0261b7ec-104e-45c6-9045-ffb8cefedc26,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
74,02792c2e-3523-4803-8b6e-29b24e7252f1,control,2020-07-10,7,Generic Smartphone,6,Chrome Mobile,0,0
75,028651a5-1fb2-4225-90c6-0f60cc21748f,exposed,2020-07-04,16,Generic Smartphone,6,Chrome Mobile,0,0
76,028e30f3-ffb0-45a3-bad5-eb5f61a35fdb,control,2020-07-04,20,Generic Smartphone,6,Chrome Mobile,0,0
77,029792f9-8621-48c6-8c25-b1555349c729,control,2020-07-06,8,Generic Smartphone,6,Chrome Mobile,0,0
78,029ec4ac-f272-4db3-8e8c-7322918863c0,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
79,02a6373b-460f-4343-a829-23b8192b8c52,exposed,2020-07-08,6,Generic Smartphone,6,Chrome Mobile,0,0
81,02ad9a1b-457b-42d9-8b6b-3c9014730226,exposed,2020-07-10,6,Generic Smartphone,6,Chrome Mobile,0,0
83,02cf01ad-ea3c-4f8c-9b29-f058adc06ed9,exposed,2020-07-08,1,Generic Smartphone,6,Chrome Mobile,0,0
