,auction_id,experiment,date,hour,device_make,platform_os,browser,yes,no
8,004940f5-c642-417a-8fd2-c8e5d989f358,exposed,2020-07-04,0,Generic Smartphone,6,Chrome Mobile WebView,0,0
11,0051dd9b-03b6-4579-b09a-0107b2a3a13e,control,2020-07-09,6,Samsung SM-G935F,6,Chrome Mobile WebView,0,0
13,006b9c6e-5f5d-4385-a811-ff20a24b30ac,exposed,2020-07-06,8,Samsung SM-G973F,6,Chrome Mobile WebView,0,0
14,0073f9a6-0856-44b4-870d-8e525878ad29,exposed,2020-07-04,15,Samsung SM-G960F,6,Chrome Mobile WebView,0,0
33,010ae43b-558b-42e7-9134-bbfe6963c6d2,control,2020-07-04,19,XT1032,6,Chrome Mobile WebView,0,0
35,01184c15-62ad-4716-9546-fe93de18a98e,control,2020-07-03,15,COL-L29,6,Chrome Mobile WebView,0,0
37,0122c268-bec0-4679-858e-036e9ecb2a56,exposed,2020-07-07,3,Samsung SM-N960U1,6,Chrome Mobile WebView,0,0
43,01637c58-8b8b-43f2-90d7-acc5d6563590,exposed,2020-07-04,17,Samsung SM-G930F,6,Chrome Mobile WebView,0,0
44,016ee01c-bed5-4611-b515-738e48ab76c7,control,2020-07-03,15,Samsung SM-G960F,6,Chrome Mobile WebView,0,0
47,0190d842-f847-4611-8165-94b8fbe2626f,exposed,2020-07-05,17,Samsung SM-G950F,6,Chrome Mobile WebView,0,0
49,01a44b3b-3b0e-4c8a-b352-a36d430d8c68,exposed,2020-07-09,23,Generic Smartphone,6,Chrome Mobile WebView,0,0
50,01a99d60-ad4b-4db4-b0bd-938f84411924,exposed,2020-07-09,14,FIG-LX1,6,Chrome Mobile WebView,0,0
54,01d39c2a-ac0c-444f-a01c-f3fa449e8c72,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile WebView,0,0
55,01d436ba-58d1-4177-94e0-692dc972c0da,exposed,2020-07-09,12,Samsung SM-G920F,6,Chrome Mobile WebView,0,0
66,02473106-2e61-4f78-86f1-0838363e0e88,exposed,2020-07-09,11,Samsung SM-A202F,6,Chrome Mobile WebView,0,0
68,024a1c60-77af-4abd-a207-f488b517696f,exposed,2020-07-08,7,I3312,6,Chrome Mobile WebView,0,0
82,02bb49a3-8ffd-4ff0-9628-ba232dceb3a3,exposed,2020-07-10,6,Samsung SM-G970F,6,Chrome Mobile WebView,0,0
86,02ece216-d48e-4c95-af29-7332e463b70c,exposed,2020-07-09,4,Samsung SM-G930F,6,Chrome Mobile WebView,0,0
106,035ab30b-7c1a-4e3d-adf1-c12a5deb6057,control,2020-07-08,22,OnePlus ONEPLUS A3003,6,Chrome Mobile WebView,0,0
111,036da9b7-5708-42d9-b126-1afa569c047e,exposed,2020-07-05,5,POT-LX1,6,Chrome Mobile WebView,0,0
112,036e5f04-8fa1-4cce-864e-e68043683cb0,exposed,2020-07-03,6,Samsung SM-G950F,6,Chrome Mobile WebView,0,0
121,03b97fa8-9f0a-4060-947f-7afc18755b84,exposed,2020-07-03,9,Samsung SM-J330FN,6,Chrome Mobile WebView,0,0
127,03e355e8-5eb8-4263-9a8a-46a0c423ebf4,control,2020-07-05,16,H3311,6,Chrome Mobile WebView,0,0
128,03ee1780-1fa3-4bec-926c-d543a81a6653,exposed,2020-07-04,11,Samsung SM-G981B,6,Chrome Mobile WebView,1,0
133,041450ac-d6e0-441e-910b-f31611a5bf7b,exposed,2020-07-05,8,MAR-LX1A,6,Chrome Mobile WebView,0,0
144,046644f4-b30c-48f9-b069-f804a97b77d9,exposed,2020-07-05,2,Generic Smartphone,6,Chrome Mobile WebView,1,0
148,04849a01-f553-40f1-bcc1-d20f3bbfd016,exposed,2020-07-04,5,Samsung SM-G960F,6,Chrome Mobile WebView,0,0
149,0486db48-6468-4bf8-afa5-00153927248a,exposed,2020-07-07,22,Generic Smartphone,6,Chrome Mobile WebView,0,0
168,051239f7-1c93-4bc4-a67a-d313fdcf16f0,control,2020-07-10,9,Samsung SM-G900F,6,Chrome Mobile WebView,0,0
173,051fe8e4-fceb-42ca-99db-e265b53f0d91,exposed,2020-07-09,16,CLT-L09,6,Chrome Mobile WebView,0,0
175,052e7964-288f-46fa-b13f-e92d4f113831,exposed,2020-07-08,23,Samsung SM-G973F,6,Chrome Mobile WebView,0,0
